Player,Serve_Rating,1stServe%,1st_Serve%_Points_Won,2nd_Serve%_Points_Won,Service%_Games_Won,Avg_Aces/Match,Avg_Double_Faults/Match,Age,Weight,Height
John Isner,325.2,71.00%,81.60%,57.90%,94.10%,22.8,2.2,33,108,208
Ivo Karlovic,314.8,66.60%,83.50%,53.10%,93.30%,23.1,4.8,40,104,211
Milos Raonic,314.5,64.10%,83.80%,58.20%,92.80%,19.3,3.7,28,98,196
Roger Federer,299.9,62.70%,80.50%,58.50%,91.60%,8.4,1.8,37,85,185
Nick Kyrgios,299.8,65.30%,78.50%,52.50%,88.90%,19.5,4.9,23,85,193
Kevin Anderson,298.3,64.50%,79.00%,53.30%,88.70%,15.8,3,32,94,203
Juan Martin del Potro,292.7,66.00%,77.40%,53.00%,87.50%,10.7,1.9,30,97,198
Novak Djokovic,290.6,66.50%,74.80%,58.10%,87.80%,5.5,2.1,31,77,188
Rafael Nadal,288,64.80%,73.30%,60.70%,88.10%,3.1,2,32,85,185
Sam Querrey,285.6,59.30%,81.50%,48.40%,85.90%,14.7,4.2,31,95,198
Karen Khachanov,283.5,64.20%,75.60%,51.90%,85.10%,9.1,2.4,22,87,198
Matteo Berrettini,282.7,62.30%,75.70%,53.90%,84.80%,8,2,22,90,196
Marin Cilic,282,60.00%,77.90%,51.60%,85.40%,10.5,3.4,30,89,198
Stefanos Tsitsipas,281.9,60.10%,75.80%,55.00%,86.50%,7,2.5,20,85,193
Borna Coric,280.7,64.00%,73.80%,53.00%,84.60%,7.5,2.2,22,85,188
Jeremy Chardy,277.8,62.80%,75.20%,50.60%,84.20%,9.7,4.7,32,75,188
Stan Wawrinka,277.7,59.00%,74.90%,53.50%,84.30%,7.9,1.9,34,81,183
Alexander Zverev,277.1,63.90%,75.00%,51.80%,82.20%,7.6,3.4,21,90,198
Ryan Harrison,276.7,59.60%,75.30%,52.60%,83.40%,9,3.2,26,84,185
Steve Johnson,276.7,58.50%,74.90%,54.00%,85.60%,6.8,3.1,29,86,188
Philipp Kohlschreiber,276.7,61.00%,72.00%,56.90%,83.50%,5.3,2,35,70,178
Nicolas Jarry,276.2,63.70%,72.60%,51.60%,81.40%,9.9,3,23,90,198
Gael Monfils,276.2,65.60%,72.50%,51.20%,82.20%,8.4,3.7,32,85,193
Marius Copil,275.1,57.80%,74.90%,52.20%,81.60%,11.5,2.9,28,87,193
Kyle Edmund,274.9,58.90%,74.40%,54.20%,83.80%,5.9,2.3,24,83,188
Roberto Bautista Agut,274.5,64.40%,72.20%,53.80%,82.80%,3.4,2.1,30,75,183
Pierre-Hugues Herbert,274.1,62.10%,72.40%,52.80%,82.40%,7.9,3.5,28,75,188
Frances Tiafoe,273.4,62.30%,71.70%,53.40%,81.20%,7.7,2.9,21,86,188
Dominic Thiem,273.3,60.00%,74.60%,52.40%,83.70%,6.2,3.6,25,79,185
Guido Pella,273.1,65.00%,70.60%,53.80%,79.50%,6.1,1.9,28,79,183
